Node Number,Thread Number,Spatial Distribution,Temporal Distribution,T/R,Network Response Time,Channel Utilization,Processor Utilization 
1,4,4,1,0.1,700.514102,0.352431,0.839546
1,4,4,1,0.2,864.599227,0.506302,0.827412
1,4,4,1,0.3,839.372851,0.638516,0.802605
1,4,4,1,0.4,1256.053108,0.767051,0.723403
1,4,4,1,0.5,1343.875577,0.807812,0.72121
1,4,4,1,0.6,1574.366301,0.841771,0.647035
1,4,4,1,0.7,1974.853192,0.85033,0.567402
1,4,4,1,0.8,1845.521914,0.865625,0.511627
1,4,4,1,0.9,2605.196106,0.888828,0.47056
1,4,4,1,1,2586.130982,0.882552,0.421877
1,6,4,1,0.1,866.002265,0.370026,0.901173
1,6,4,1,0.2,1188.628365,0.53691,0.897863
1,6,4,1,0.3,1351.075304,0.65737,0.871957
1,6,4,1,0.4,1413.081946,0.772778,0.853846
1,6,4,1,0.5,1804.085211,0.852561,0.796428
1,6,4,1,0.6,2114.035099,0.910729,0.731779
1,6,4,1,0.7,2275.428465,0.916259,0.640211
1,6,4,1,0.8,3297.253072,0.924583,0.568923
1,6,4,1,0.9,2923.876773,0.931484,0.514046
1,6,4,1,1,3808.98919,0.931076,0.463145
1,8,4,1,0.1,1141.277162,0.346441,0.923706
1,8,4,1,0.2,1192.856244,0.518889,0.922138
1,8,4,1,0.3,1456.320301,0.683047,0.928869
1,8,4,1,0.4,1949.797805,0.809028,0.911611
1,8,4,1,0.5,2531.21942,0.888976,0.850776
1,8,4,1,0.6,2677.461345,0.933802,0.768916
1,8,4,1,0.7,3430.493664,0.940807,0.673281
1,8,4,1,0.8,3378.167663,0.951667,0.601595
1,8,4,1,0.9,4793.187737,0.955781,0.538158
1,8,4,1,1,5033.174441,0.960156,0.488247
1,10,4,1,0.1,1212.364504,0.359453,0.961658
1,10,4,1,0.2,1818.518585,0.52724,0.950974
1,10,4,1,0.3,1860.231397,0.677891,0.938148
1,10,4,1,0.4,1910.845894,0.817049,0.934972
1,10,4,1,0.5,2968.873768,0.883964,0.911155
1,10,4,1,0.6,3327.975791,0.794956,0.954375
1,10,4,1,0.7,4402.212045,0.697823,0.960799
1,10,4,1,0.8,4042.570405,0.972709,0.626211
1,10,4,1,0.9,5117.790831,0.972031,0.557324
1,10,4,1,1,6065.736672,0.973524,0.504446
1,4,2,1,0.1,1327.334659,0.297951,0.549508
1,4,2,1,0.2,1501.504698,0.357118,0.509507
1,4,2,1,0.3,1517.024022,0.479036,0.531845
1,4,2,1,0.4,1455.789406,0.543299,0.519655
1,4,2,1,0.5,1881.893315,0.636632,0.515341
1,4,2,1,0.6,2090.345171,0.649635,0.452565
1,4,2,1,0.7,2511.787943,0.633707,0.381618
1,4,2,1,0.8,3071.20543,0.672917,0.355369
1,4,2,1,0.9,3621.956835,0.681484,0.32818
1,4,2,1,1,3681.474413,0.655035,0.282082
1,6,2,1,0.1,1708.165016,0.310929,0.572224
1,6,2,1,0.2,2103.200338,0.393715,0.557274
1,6,2,1,0.3,1875.405626,0.500182,0.585218
1,6,2,1,0.4,2280.018142,0.620903,0.591425
1,6,2,1,0.5,2637.788002,0.678125,0.557459
1,6,2,1,0.6,2629.292325,0.721146,0.517327
1,6,2,1,0.7,3158.973789,0.728741,0.458381
1,6,2,1,0.8,3844.868921,0.728264,0.401393
1,6,2,1,0.9,4843.121879,0.725547,0.365252
1,6,2,1,1,5131.942593,0.738628,0.338053
1,8,2,1,0.1,2119.201174,0.265434,0.567314
1,8,2,1,0.2,2342.016821,0.407031,0.601986
1,8,2,1,0.3,2655.360904,0.548307,0.649676
1,8,2,1,0.4,2517.612877,0.638264,0.627225
1,8,2,1,0.5,2658.641154,0.71276,0.609125
1,8,2,1,0.6,3926.536213,0.757448,0.564138
1,8,2,1,0.7,4291.11536,0.75645,0.49258
1,8,2,1,0.8,4418.932026,0.76625,0.440587
1,8,2,1,0.9,4776.873467,0.785234,0.409357
1,8,2,1,1,4901.47212,0.784288,0.375879
1,10,2,1,0.1,2383.059193,0.308611,0.63489
1,10,2,1,0.2,2440.137766,0.40151,0.625327
1,10,2,1,0.3,3084.570291,0.559245,0.654058
1,10,2,1,0.4,3079.737616,0.664514,0.66297
1,10,2,1,0.5,3821.53383,0.742057,0.645673
1,10,2,1,0.6,3767.82198,0.776667,0.591505
1,10,2,1,0.7,4885.31403,0.774557,0.521848
1,10,2,1,0.8,4445.629398,0.820486,0.490651
1,10,2,1,0.9,5406.725208,0.846172,0.452518
1,10,2,1,1,5578.782966,0.849566,0.41892
1,4,1,1,0.1,421.877284,0.2023,0.905039
1,4,1,1,0.2,470.197916,0.384201,0.900025
1,4,1,1,0.3,525.910576,0.549167,0.883719
1,4,1,1,0.4,608.76642,0.693715,0.853155
1,4,1,1,0.5,742.125137,0.816536,0.81232
1,4,1,1,0.6,826.143227,0.895417,0.749235
1,4,1,1,0.7,961.642973,0.936189,0.675295
1,4,1,1,0.8,1201.631933,0.956806,0.605546
1,4,1,1,0.9,1230.205126,0.967266,0.543298
1,4,1,1,1,1493.745104,0.971528,0.491761
1,6,1,1,0.1,614.630123,0.209783,0.9375
1,6,1,1,0.2,705.468587,0.400017,0.935522
1,6,1,1,0.3,698.256515,0.573151,0.922333
1,6,1,1,0.4,836.310509,0.739653,0.915624
1,6,1,1,0.5,1072.239243,0.875431,0.870269
1,6,1,1,0.6,1196.322911,0.944792,0.796469
1,6,1,1,0.7,1469.079664,0.96645,0.703475
1,6,1,1,0.8,1717.654857,0.974028,0.622974
